,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
68,Компания EY,"Прочие виды производства, услуг",2020,ОУР,/download/78c884e01bfaaab4ae2d2d8b61ce665d/,0.02,0.01,0.0,0.0,0.02,0.01,0.01,0.02,0.04,0.01,0.05,0.04,0.02,0.03,0.04,0.03,0.06,0.01,0.04,0.06,0.03,0.04,0.01,0.05,0.04,0.02,0.05
70,Компания EY,"Прочие виды производства, услуг","2016, 2015",СО,/download/07b46af46a187ce50d6b05723d2ec1f4/,0.02,0.01,0.0,0.0,0.02,0.01,0.02,0.02,0.04,0.01,0.04,0.04,0.02,0.03,0.04,0.05,0.06,0.0,0.04,0.07,0.04,0.03,0.02,0.06,0.05,0.02,0.05
71,Компания EY,"Прочие виды производства, услуг","2014, 2013",СО,/download/be75966748b85a4a96b4288223911f1c/,0.02,0.01,0.0,0.0,0.02,0.01,0.02,0.02,0.04,0.01,0.04,0.04,0.01,0.02,0.04,0.04,0.05,0.0,0.04,0.06,0.04,0.03,0.01,0.06,0.05,0.02,0.05
74,GV Gold,Металлургическая и горнодобывающая,2021,ОУР,/download/397d10de0e8897c7c81407a221077642/,0.06,0.04,0.02,0.01,0.06,0.03,0.06,0.04,0.08,0.04,0.03,0.05,0.02,0.01,0.06,0.04,0.06,0.01,0.06,0.08,0.06,0.04,0.02,0.06,0.06,0.05,0.06
75,GV Gold,Металлургическая и горнодобывающая,2020,ОУР,/download/8fe74780e3f4ef72520fed0ba7349ee0/,0.07,0.04,0.03,0.01,0.06,0.04,0.06,0.04,0.08,0.04,0.04,0.06,0.03,0.02,0.06,0.04,0.06,0.02,0.05,0.08,0.05,0.04,0.02,0.06,0.06,0.06,0.07
76,HEINEKEN в России,Производство пищевых и других потребительских товаров,2017,ОУР,/download/8f2eb354f74f708697db4d7f8bf710d3/,0.05,0.01,0.02,0.0,0.02,0.02,0.02,0.03,0.05,0.01,0.03,0.04,0.01,0.01,0.03,0.05,0.04,0.0,0.03,0.05,0.03,0.02,0.01,0.04,0.04,0.04,0.05
77,HEINEKEN в России,Производство пищевых и других потребительских товаров,2016,ОУР,/download/e311d361a257579605e0e268d3e1a6e5/,0.05,0.01,0.03,0.01,0.02,0.03,0.01,0.03,0.03,0.01,0.03,0.03,0.01,0.01,0.02,0.05,0.03,0.0,0.02,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.04
78,HEINEKEN в России,Производство пищевых и других потребительских товаров,2015,ОУР,/download/7f0bba57fa5111e52b01b75f7a0891b9/,0.06,0.01,0.02,0.01,0.03,0.03,0.02,0.03,0.04,0.01,0.04,0.04,0.01,0.02,0.03,0.05,0.04,0.0,0.02,0.05,0.03,0.03,0.01,0.05,0.04,0.03,0.05
79,HEINEKEN в России,Производство пищевых и других потребительских товаров,2014,ОУР,/download/1eb6127399cfabc89db2cf406079be9d/,0.04,0.01,0.02,0.0,0.03,0.02,0.03,0.03,0.03,0.01,0.04,0.03,0.01,0.01,0.02,0.05,0.03,0.0,0.03,0.05,0.03,0.03,0.01,0.05,0.04,0.03,0.04
80,HEINEKEN в России,Производство пищевых и других потребительских товаров,2013,ОУР,/download/571f841e5e43885dcb25e25ab593b5b1/,0.04,0.01,0.02,0.0,0.02,0.01,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.02,0.04,0.03,0.0,0.02,0.04,0.02,0.02,0.01,0.03,0.03,0.02,0.04
82,HEINEKEN в России,Производство пищевых и других потребительских товаров,2011,ОУР,/download/f966cd832e3fe993678cc0b3ba7e0cba/,0.04,0.01,0.01,0.0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.01,0.01,0.02,0.03,0.02,0.0,0.02,0.03,0.02,0.02,0.01,0.03,0.03,0.02,0.04
83,HEINEKEN в России,Производство пищевых и других потребительских товаров,2010,ОУР,/download/3d11c253cc7c2ee256b74d2f360a8db1/,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.0,0.0,0.02,0.04,0.03,0.0,0.02,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.03
84,HEINEKEN в России,Производство пищевых и других потребительских товаров,2009,ОУР,/download/88b5f09dedae28e01050f84c61f27792/,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.0,0.01,0.02,0.02,0.02,0.0,0.02,0.02,0.01,0.02
86,Intel,Телекоммуникационная и связь,2012,СО,/download/68a60638edcad219cad78ec61b1a0249/,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.0,0.04,0.03,0.01,0.04,0.03,0.03,0.05,0.0,0.02,0.05,0.03,0.02,0.02,0.04,0.04,0.04,0.04
