,компания,сектор,год,тип отчета,ссылка на отчет
126,АК «АЛРОСА»,Металлургическая и горнодобывающая,2016,СО,/download/51579eb252efe1da145a31c6b5fdf89b/
127,АК «АЛРОСА»,Металлургическая и горнодобывающая,2015,СО,/download/a3edca2fe7f10fc40964ae4a9b64acd2/
128,АК «АЛРОСА»,Металлургическая и горнодобывающая,2014,СО,/download/cecdfba9235aabe8d96dbafafa534547/
129,АК «АЛРОСА»,Металлургическая и горнодобывающая,2013,СО,/download/b60dad09441ee775888a97e58fa5ed32/
130,АК «АЛРОСА»,Металлургическая и горнодобывающая,2012,СО,/download/bcf0b03f02c703c0e87276216105516e/
131,АК «АЛРОСА»,Металлургическая и горнодобывающая,2011,СО,/download/971f6b68e3b531e4881fa2d2f577f7b6/
132,АКБ «АК БАРС»,Финансы и страхование,2021,ОУР,/download/7e0d2d316d918003076669c0929f7cf1/
133,АКБ «АК БАРС»,Финансы и страхование,2020,ОУР,/download/494f8ba35615fccee06a7a7dd83495f9/
134,АКБ «АК БАРС»,Финансы и страхование,2007,СО,/download/f15845312abb52a1491ba2b12d157904/
135,АО «Коммерческая недвижимость ФПК «Гарант-Инвест»,Строительство,2021,ОУР,/download/5fb07c55f4543a0fa999b381789ab654/
136,АО «Коммерческая недвижимость ФПК «Гарант-Инвест»,Строительство,2020,ОУР,/download/09cfd22d7806ca3607dfe3b68d145cf0/
137,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2017,ИО,/download/374855727aa2db922f75266ad30f07da/
138,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2015,ИО,/download/0aa70c44642ad0aad6032ca3b6f97d27/
139,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2014,ИО,/download/3878ff4b59cb215906c386851685ce93/
140,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2013,ИО,/download/c370cfe1b0a1099a0c94533503646a5a/
141,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2012,ИО,/download/228e05ff4fcddc855215d8e2936f47cc/
142,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2011,ИО,/download/f7bb64d56d74c49e09410ee3679e35e0/
143,АО «АТОМПРОЕКТ» (ОАО «СПбАЭП»),Энергетика,2010,ИО,/download/4418b6553ddf0e64c3df6eb3b4220e15/
144,АШАН,Ритейл,2017,ОУР,/download/bba53200c6123afa5e7c393359b4a2a1/
145,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ",2021,ИО,/download/4883d1898156567506369a688a3722c1/
146,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ",2021,ОУР,/download/632bb275b88b0758a79a8545fb8c0a54/
147,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ",2020,ИО,/download/23511f30e668bf961b601e7392ddf55b/
148,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ",2019,ИО,/download/988ba545583add4d73ac8bd59daed07f/
149,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ",2018,ИО,/download/80efe081bf02ac2f21f81ae04652ca84/
150,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ",2017,ИО,/download/99883d279f3de5d9a07e9e3d4195590b/
151,ПАО «АЭРОФЛОТ»,"Транспорт, дорожное строительство и логистические услуги ","2007, 2006",СО,/download/d94371bbc284f430ed20cf220cad4ab9/
152,ОАО Авиакомпания «Трансаэро»,"Транспорт, дорожное строительство и логистические услуги ","2009, 2008",ОУР,/download/96560566ea9c7d0d4eb53569c95de80f/
153,ОАО Авиакомпания «Трансаэро»,"Транспорт, дорожное строительство и логистические услуги ","2007, 2006",ОУР,/download/e5c956d72c27a8d5afd2c5da07793603/
154,«Агентство социальной информации»,Некоммерческие организации,2021,СО,/download/c97deac96aae2713f7a1dfdb14b02370/
155,«Агентство социальной информации»,Некоммерческие организации,2020,СО,/download/2033b3c493c9195747782fb3175a4aa5/
156,«Агентство социальной информации»,Некоммерческие организации,2019,СО,/download/b2ef9b2567ca2a25acc59ea1721f1f27/
157,«Агентство социальной информации»,Некоммерческие организации,2018,СО,/download/ffef5c47b1e52e98977fc321d9a18e35/
158,«Агентство социальной информации»,Некоммерческие организации,2017,СО,/download/8611f2489c2daa0983872bb7be330c88/
159,«Агентство социальной информации»,Некоммерческие организации,2016,СО,/download/cf351e4b7b22360361a4a5a4b684a136/
160,«Агентство социальной информации»,Некоммерческие организации,2015,СО,/download/9097fb56fecfce78dded1c49e481ac20/
161,«Агентство социальной информации»,Некоммерческие организации,2014,СО,/download/0b62c6cd0f56578c346f8ecce965fe40/
